#TAG,NAME,TIER,DEPS,PURPOSE
,build-essential,1,base,"Essential compilation tools (gcc, g++, make)."
,direnv,1,base,Environment switcher loaded in env.zsh.
,efibootmgr,1,base,Manipulates EFI Boot Manager variables.
,grub-efi-amd64,1,base,GNU GRUB bootloader for UEFI.
,firmware-linux-free,1,base,Firmware files for Linux kernel.
,lvm2,1,base,Logical Volume Manager tools.
,man-db,1,base,Read man pages of programs.
,network-manager,1,base,Manages network connections (nmcli).
,stow,1,base,GNU Stow symlink manager to manage dotfiles.
,sudo,1,base,Users to run programs with security privileges.
,systemd-zram-generator,1,base,Manages zram swap devices automatically.
,dunst,2,x11,Suckless notification daemon; paired with libnotify.
,fontconfig,2,dwm+st,Library for configuring and customizing font access.
B,libfontconfig1-dev,2,dwm+st,Development files for fontconfig.
B,libharfbuzz-dev,2,st,OpenType text shaping engine required to compile st with ligatures support.
B,libimlib2-dev,2,dwm,Image loading and rendering library for DWM icon and tag preview.
B,libx11-dev,2,dwm+st,X11 client-side library headers.
B,libx11-xcb-dev,2,dwm,X11 XCB binary compatibility library headers (required for swallow patch).
B,libxinerama-dev,2,dwm,Xinerama multi-monitor extension library for DWM.
B,libxft-dev,2,dwm+st,FreeType font rendering library for DWM and ST.
B,libxrender-dev,2,dwm+st,X Rendering Extension client library headers.
B,libxcb1-dev,2,dwm,X C Binding client library headers.
B,libxcb-res0-dev,2,dwm,X C Binding resource extension headers (swallow patch).
B,libyajl-dev,2,dwm,Yet Another JSON Library headers for DWM IPC patch.
B,libxext-dev,2,dwm,X11 miscellaneous extensions headers.
B,libasound2-dev,2,dwmblocks,ALSA sound library development headers (required for dwmblocks native volume).
B,libxfixes-dev,2,dwm,XFixes extension library headers (required for ka-clipd).
B,libgtk-3-dev,2,dwm,GTK3 development headers (required for ka-pop).
,libimlib2,2,dwm,Image loading library.
,maim,2,x11,Can take quick screenshots (used by maimpick script).
,slop,2,x11,Screen selection tool used by maim and ocr.
,picom,2,x11,Modern X compositor for transparency and removing screen-tearing.
,rofi,2,x11,"Window switcher, application launcher and dmenu replacement."
,suckless-tools,2,x11,Basic suckless utilities.
,unclutter,2,x11,Hides an inactive mouse cursor after a few seconds.
,xclip,2,x11,For copying and pasting from the command line.
,xdotool,2,x11,Window action utilities on the command line (used in DWM scripts).
,xserver-xorg,2,x11,Graphical Xorg server.
,x11-xkb-utils,2,x11,Keyboard layout configuration utility (setxkbmap).
,xinit,2,x11,Starts the graphical server.
,x11-utils,2,x11,X11 utilities (xprop, xwininfo).
,x11-xserver-utils,2,x11,X server utilities (xrandr, xset, xsetroot).
,xwallpaper,2,x11,Sets the wallpaper via setbg script.
,fcitx5,3,fcitx5,Generic input method framework.
